latitude, longitude, name, train_line
55.693155,12.5887387,n/a,"InterCity 4: København Østerport => Esbjerg"
55.6933008,12.5884632,A,"S-tog A: Solrød Strand => Hillerød"
55.6645362,12.4938071,F,"S-tog F: København Syd => Hellerup"
55.664539,12.4937406,F,"S-tog F: Hellerup => København Syd"
55.6856247,12.4990686,F,"S-tog F: København Syd => Hellerup"
55.6856523,12.4990225,F,"S-tog F: Hellerup => København Syd"
55.7155843,12.5594738,F,"S-tog F: Hellerup => København Syd"
55.7230104,12.4026979,C,"S-tog C: Frederikssund => Klampenborg"
55.7231166,12.4027285,C,"S-tog C: Klampenborg => Frederikssund"
55.6638322,12.5135942,H,"S-tog H: Ballerup => Østerport"
55.6638689,12.5135963,H,"S-tog H: Østerport => Ballerup"
55.6597541,12.4991483,F,"S-tog F: København Syd => Hellerup"
55.672064,12.4931365,F,"S-tog F: Hellerup => København Syd"
55.6720673,12.4932049,F,"S-tog F: København Syd => Hellerup"
55.6580357,12.3538022,Bx,"S-tog Bx: Høje Taastrup => Buddinge"
55.6582018,12.353745,Bx,"S-tog Bx: Buddinge => Høje Taastrup"
55.6651322,12.4410233,B,"S-tog B: Farum => Høje Taastrup"
55.6653457,12.5592374,H,"S-tog H: Østerport => Ballerup"
55.6644285,12.4750137,B,"S-tog B: Høje Taastrup => Farum"
55.672113,12.5643942,H,"S-tog H: Østerport => Ballerup"
55.6721688,12.5645574,A,"S-tog A: Hillerød => Solrød Strand"
55.6722028,12.5646566,A,"S-tog A: Solrød Strand => Hillerød"
55.7629237,12.5834383,C,"S-tog C: Klampenborg => Frederikssund"
55.6647077,12.4589172,B,"S-tog B: Høje Taastrup => Farum"
55.7154521,12.5787311,Bx,"S-tog Bx: Buddinge => Høje Taastrup"
55.7156238,12.5789191,Bx,"S-tog Bx: Høje Taastrup => Buddinge"
55.6919308,12.5860675,H,"S-tog H: Ballerup => Østerport"
55.7615229,12.4545391,B,"S-tog B: Farum => Høje Taastrup"
55.7616545,12.454577,B,"S-tog B: Høje Taastrup => Farum"
55.7470918,12.494152,Bx,"S-tog Bx: Buddinge => Høje Taastrup"
55.7472251,12.4942003,Bx,"S-tog Bx: Høje Taastrup => Buddinge"
55.7651013,12.4337631,B,"S-tog B: Farum => Høje Taastrup"
55.7823998,12.3718599,B,"S-tog B: Farum => Høje Taastrup"
55.7825026,12.3719705,B,"S-tog B: Høje Taastrup => Farum"
55.5816439,12.2967136,A,"S-tog A: Solrød Strand => Hillerød"
55.5817328,12.2965856,A,"S-tog A: Hillerød => Solrød Strand"
